% # iter+eval+sigma+axisratio+stddevratio+diag(D) (randomSeed=807806320, Tue Feb  1 14:49:12 2011)
0	0	3.0000e-01	1.00e+00	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	13	2.8082e-01	1.00e+00	1.01078	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	26	2.6959e-01	1.04e+00	1.01661	0.995035	0.995035	0.995035	0.995035	0.995035	0.995035	0.995035	0.995035	0.995035	0.995035	0.995035	0.995035	0.995035	0.995035	0.995035	0.995035	0.996236	0.998327	1.00496	1.00824	1.02563	1.03628
3	39	2.5959e-01	1.05e+00	1.02046	0.990095	0.990095	0.990095	0.990095	0.990095	0.990095	0.990095	0.990095	0.990095	0.990095	0.990919	0.991212	0.992525	0.993423	0.994629	0.998964	0.999699	1.00198	1.01176	1.02968	1.03402	1.03501
4	52	2.5269e-01	1.06e+00	1.02676	0.98518	0.98518	0.98518	0.98518	0.985469	0.985818	0.986209	0.986878	0.987171	0.988736	0.988818	0.9898	0.990978	0.993512	0.994565	0.996642	0.997402	1.0066	1.01411	1.03254	1.03408	1.04235
5	65	2.4236e-01	1.08e+00	1.02891	0.980355	0.980497	0.980637	0.981143	0.981416	0.982043	0.982418	0.983257	0.983835	0.984914	0.985726	0.987633	0.989979	0.992043	0.994773	0.997494	1.00371	1.01772	1.01875	1.03158	1.043	1.05723
6	78	2.3168e-01	1.08e+00	1.03034	0.975637	0.975915	0.976569	0.977319	0.977991	0.978537	0.979316	0.980214	0.98135	0.982245	0.984506	0.986446	0.988208	0.992105	0.994104	1.00015	1.00622	1.01631	1.01993	1.02915	1.04615	1.05588
7	91	2.2282e-01	1.09e+00	1.03273	0.971618	0.97238	0.97271	0.973617	0.97452	0.975362	0.976312	0.977605	0.980052	0.981972	0.982348	0.985473	0.989476	0.991937	0.993506	1.00003	1.00435	1.01651	1.01689	1.0266	1.05026	1.05629
8	104	2.2025e-01	1.10e+00	1.03736	0.966992	0.968178	0.96989	0.970458	0.970885	0.971978	0.975086	0.976725	0.978383	0.980824	0.982141	0.984425	0.987626	0.990802	0.993995	0.999594	1.00115	1.01469	1.02082	1.02651	1.05384	1.0611
9	117	2.1811e-01	1.11e+00	1.04399	0.964407	0.964665	0.965804	0.966524	0.96776	0.968825	0.971544	0.973649	0.974566	0.978187	0.982848	0.983091	0.986694	0.991682	0.993498	0.996565	1.00544	1.01339	1.02209	1.02979	1.05365	1.07361
