% # iter+eval+sigma+axisratio+fbestever+fitness+fmedian+fworst+mindii+idxmaxSD+maxSD+idxminSD+minSD (randomSeed=807806320, Tue Feb  1 14:49:12 2011)
1	13	2.8082e-01	1.00e+00	2.047870482480320e+01	2.047870482480320e+01	2.087491792324810e+03	9.955303137563465e+03	1.0000e+00	7	1.0062e+00	17	9.9549e-01
2	26	2.6959e-01	1.04e+00	1.139152619578627e+01	1.139152619578627e+01	4.002165172108537e+02	1.446182591571182e+03	9.9504e-01	18	1.0085e+00	17	9.9200e-01
3	39	2.5959e-01	1.05e+00	1.053260558117916e+01	1.053260558117916e+01	6.148530821160979e+02	3.129421586239674e+03	9.9010e-01	18	1.0092e+00	16	9.8897e-01
4	52	2.5269e-01	1.06e+00	1.053260558117916e+01	2.043876532820294e+01	1.263807012346830e+02	1.135818465539815e+03	9.8518e-01	18	1.0150e+00	13	9.8850e-01
5	65	2.4236e-01	1.08e+00	8.104956233841291e+00	8.104956233841291e+00	3.891046023544332e+02	2.416459792362635e+03	9.8036e-01	18	1.0138e+00	13	9.8528e-01
6	78	2.3168e-01	1.08e+00	8.104956233841291e+00	1.742732522498920e+01	3.830736636909736e+02	5.052777661469995e+03	9.7564e-01	15	1.0125e+00	13	9.8264e-01
7	91	2.2282e-01	1.09e+00	8.104956233841291e+00	9.454190100106342e+00	1.667425443274985e+02	1.674031601090036e+03	9.7162e-01	15	1.0138e+00	3	9.8169e-01
8	104	2.2025e-01	1.10e+00	8.104956233841291e+00	1.862277859500707e+01	1.212293851699973e+02	2.870712483643824e+03	9.6699e-01	15	1.0162e+00	4	9.7961e-01
9	117	2.1811e-01	1.11e+00	8.104956233841291e+00	9.158000193270610e+00	2.011678014051914e+02	1.416527445254271e+03	9.6441e-01	15	1.0194e+00	1	9.7649e-01
10	130	2.1751e-01	1.13e+00	8.104956233841291e+00	3.289770038790277e+01	3.710689748477322e+02	1.548182732537553e+03	9.6003e-01	15	1.0288e+00	1	9.7320e-01
11	143	2.1530e-01	1.15e+00	8.104956233841291e+00	1.003548682156231e+01	3.167865316816488e+02	2.297960022691963e+03	9.5567e-01	15	1.0380e+00	1	9.6906e-01
12	156	2.1249e-01	1.16e+00	8.104956233841291e+00	2.184227901350749e+01	2.683796024607415e+02	1.392554292672983e+03	9.5176e-01	15	1.0434e+00	1	9.6457e-01
13	169	2.1936e-01	1.18e+00	8.104956233841291e+00	1.691748216716181e+01	3.507978264993434e+02	2.256192609906097e+03	9.4837e-01	15	1.0489e+00	1	9.6018e-01
14	182	2.2929e-01	1.20e+00	8.104956233841291e+00	1.381079030401545e+01	1.561903470750214e+02	2.928219648540572e+03	9.4438e-01	15	1.0555e+00	1	9.5554e-01
15	195	2.3199e-01	1.24e+00	8.104956233841291e+00	1.228836949490985e+01	1.910396192248317e+02	4.629537200264761e+03	9.4007e-01	15	1.0579e+00	1	9.5095e-01
16	208	2.3182e-01	1.26e+00	8.104956233841291e+00	1.562021892831931e+01	3.584194741398815e+02	1.716114641637712e+03	9.3603e-01	15	1.0582e+00	1	9.4672e-01
17	221	2.2724e-01	1.28e+00	8.104956233841291e+00	1.751954197745816e+01	3.648823761623929e+02	1.438775967030210e+03	9.3225e-01	15	1.0561e+00	1	9.4243e-01
18	234	2.2657e-01	1.29e+00	8.104956233841291e+00	1.278637116657539e+01	2.897067511967171e+02	2.216689188265305e+03	9.2871e-01	15	1.0544e+00	1	9.3806e-01
19	247	2.2448e-01	1.31e+00	8.104956233841291e+00	1.318581564435751e+01	2.248970578087398e+02	4.349869145721998e+03	9.2441e-01	15	1.0518e+00	1	9.3363e-01
20	260	2.2161e-01	1.32e+00	8.104956233841291e+00	7.343846272367774e+01	2.570014778632431e+02	1.269522417633540e+03	9.2057e-01	15	1.0506e+00	1	9.3003e-01
21	273	2.1943e-01	1.32e+00	8.104956233841291e+00	1.039555487591662e+01	2.050926733104114e+02	1.862351888232502e+03	9.1744e-01	15	1.0530e+00	1	9.2578e-01
22	286	2.1790e-01	1.33e+00	8.104956233841291e+00	1.203903629462497e+01	1.578961230339940e+02	9.957870136327866e+02	9.1417e-01	15	1.0486e+00	1	9.2154e-01
23	299	2.1243e-01	1.33e+00	8.104956233841291e+00	1.132796926203670e+01	2.889876774244008e+02	2.249081039668951e+03	9.0981e-01	15	1.0445e+00	1	9.1719e-01
24	312	2.0725e-01	1.33e+00	8.104956233841291e+00	1.246132735683564e+01	2.338354636383651e+02	1.532723598892119e+03	9.0592e-01	15	1.0447e+00	1	9.1294e-01
25	325	2.0767e-01	1.33e+00	8.104956233841291e+00	1.893923407748391e+01	1.868106546164082e+02	1.921622200739432e+03	9.0165e-01	15	1.0411e+00	1	9.0860e-01
26	338	1.9988e-01	1.33e+00	8.104956233841291e+00	2.318537432124015e+01	2.394343235410319e+02	6.574696380908030e+02	8.9784e-01	15	1.0390e+00	1	9.0440e-01
27	351	1.9695e-01	1.34e+00	8.104956233841291e+00	1.624966986895944e+01	6.394387125986173e+02	1.623950975837251e+03	8.9392e-01	15	1.0415e+00	1	9.0026e-01
28	364	1.9330e-01	1.34e+00	8.104956233841291e+00	1.185824524655754e+01	1.216083417591401e+02	1.943130949432672e+03	8.9002e-01	15	1.0402e+00	1	8.9591e-01
29	377	1.9063e-01	1.34e+00	8.104956233841291e+00	1.219791134122484e+01	7.799227561683578e+01	1.268106476949595e+03	8.8653e-01	15	1.0404e+00	1	8.9166e-01
30	390	1.9562e-01	1.35e+00	8.104956233841291e+00	3.374155707656358e+01	2.883640763949957e+02	1.833601116358140e+03	8.8279e-01	15	1.0436e+00	1	8.8786e-01
31	403	1.9751e-01	1.37e+00	8.104956233841291e+00	9.967649090986075e+00	1.706277398059628e+02	1.285831396125641e+03	8.7907e-01	15	1.0426e+00	1	8.8379e-01
