GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_AvgAge,P1_AvgSize,P1_Avg_f0,P1_Best_f0,P1_Worst_f0,P1_onePointImpreciseCrossover,P1_twoPointImpreciseCrossover,P1_singleParameterAlterationMutation
1,1.40177,1,0,40,25,1,0.9,1.61905,106,9.7619,15,4,0.333333,0.333333,0.333333
2,1.25592,2,0,40,25,1,0.91,2.17308,106,10.0769,17,4,0.294118,0.352941,0.352941
3,1.62658,3,0,40,25,1,0.91,2.82353,106,10.1765,16,4,0.255682,0.340909,0.403409
4,1.92447,4,0,40,25,1,0.91,3.17021,106,10.5106,16,4,0.241287,0.321716,0.436997
5,2.12191,5,0,40,25,1,0.91,3.68889,106,10.4667,15,4,0.228426,0.304569,0.467005
6,2.47234,6,0,40,25,1,0.91,3.92683,106,9.82927,14,4,0.216867,0.289157,0.493976
7,1.83425,7,0,40,25,1,0.919,4.17021,106,10.0851,16,4,0.206422,0.275229,0.518349
8,2.46271,8,0,40,25,1,0.919,4.65306,106,10.102,16,4,0.196937,0.262582,0.540481
